DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2,ROOM5,3-4,ROOM6,4-5,5-6
FRI,CSE-1,---,X,---,X,X,---,DS,---,STW,PS,---,IND4,---,DSD,X
FRI,CSE-2,---,DSD,---,AFL,IND4,---,PS,---,DS,X,---,X,---,X,X
FRI,CSE-3,---,X,---,X,X,---,AFL,---,DS,X,---,PS,---,DS(L),DS(L)
FRI,CSE-4,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
FRI,CSE-5,---,PS,---,DS,STW,---,X,---,X,X,---,AFL,---,DS(L),DS(L)
FRI,CSE-6,---,X,---,STW,IND4,---,DS,---,DSD,PS,---,X,---,X,X
FRI,CSE-7,---,X,---,X,X,---,STW,---,DS,IND4,---,DSD,---,PS,X
FRI,CSE-8,---,PS,---,AFL,IND4,---,DS,---,STW,X,---,X,---,X,X
FRI,CSE-9,---,X,---,X,X,---,DS,---,DSD,X,---,PS,---,STW,IND4
FRI,CSE-10,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
FRI,CSE-11,---,X,---,STW,DS,---,X,---,X,X,---,IND4,---,AFL,PS
FRI,CSE-12,---,X,---,X,PS,---,DSD,---,DSD(L),DSD(L),---,X,---,X,X
FRI,CSE-13,---,X,---,X,X,---,STW,---,IND4,AFL,---,DS,---,DSD,PS
FRI,CSE-14,---,DS,---,STW,PS,---,DSD,---,AFL,X,---,X,---,X,X
FRI,CSE-15,---,X,---,X,X,---,PS,---,STW,X,---,AFL,---,DS(L),DS(L)
FRI,CSE-16,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
FRI,CSE-17,---,PS,---,DS(L),DS(L),---,X,---,X,X,---,DS,---,AFL,X
FRI,CSE-18,---,X,---,PS,DS,---,IND4,---,DSD,AFL,---,X,---,X,X
FRI,CSE-19,---,X,---,X,X,---,IND4,---,STW,PS,---,DS,---,DSD,AFL
FRI,CSE-20,---,DSD,---,AFL,IND4,---,DS,---,PS,X,---,X,---,X,X
FRI,CSE-21,---,X,---,X,X,---,PS,---,IND4,AFL,---,DSD,---,X,X
FRI,CSE-22,---,X,---,X,X,---,X,---,X,X,---,X,---,X,X
FRI,CSE-23,---,PS,---,STW,DS,---,X,---,X,X,---,IND4,---,AFL,X
FRI,CSE-24,---,X,---,DS,PS,---,DSD,---,DSD(L),DSD(L),---,X,---,X,X
FRI,CSE-25,---,X,---,X,X,---,DS,---,AFL,PS,---,IND4,---,DSD,X
FRI,CSE-26,---,DS,---,STW,AFL,---,PS,---,DSD,X,---,X,---,X,X
FRI,CSE-27,---,X,---,X,X,---,AFL,---,DS(L),DS(L),---,PS,---,DSD,DS
